Record_ID,Place,Zone,Police_Station,Crime_Type,Severity,Victim_Gender,Victim_Age_Group,Time_of_Crime,Day_of_Week,Month,Year,Weapon_Used,Number_of_Accused,Reported_Within_24h,Case_Status,Additional_Details,Data_Source
NGP-SYN-0013,Manish Nagar,Zone IV,Manish Nagar,Cybercrime (OTP/Loan App Fraud),Medium,Female,18-25,Evening (3-7 PM),Tuesday,December,2025,Knife/Sharp Weapon,Unknown,Yes,Under Trial,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0014,Ravi Nagar,Zone II,Ravi Nagar,Fraud,Medium,Not Specified,36-45,Late Night (11 PM-4 AM),Sunday,December,2026,Knife/Sharp Weapon,Unknown,Yes,Case Pending,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0015,Shraddhanand Peth,Zone II,Shraddhanand Peth,House Break-in,Medium,Not Specified,18-25,Late Night (11 PM-4 AM),Sunday,April,2026,Blunt Object,3,No,Case Closed - Convicted,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0016,Kapil Nagar,Zone V,Kapil Nagar,Mobile Phone Snatching,Low,Female,60+,Night (7-11 PM),Wednesday,October,2023,None,3,No,Chargesheet Filed,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0017,Gandhibagh,Zone III,Gandhibagh,House Break-in,Medium,Male,26-35,Morning (7-11 AM),Sunday,October,2025,Knife/Sharp Weapon,2,Yes,FIR Registered - Under Investigation,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0018,MIDC,Zone I,MIDC,Illegal Liquor Trade,Low,Female,36-45,Late Night (11 PM-4 AM),Wednesday,November,2024,None,Unknown,No,Absconding Accused,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0019,Wardhaman Nagar,Zone IV,Wardhaman Nagar,Motor Vehicle Theft,Medium,Male,18-25,Night (7-11 PM),Sunday,August,2025,Blunt Object,4,Yes,FIR Registered - Under Investigation,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0020,Tehsil,Zone VI (Gandhibagh),Tehsil,Cybercrime (OTP/Loan App Fraud),Medium,Male,18-25,Night (7-11 PM),Friday,February,2025,None/Physical Force,1,No,Under Trial,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0021,Byramji Town,Other,Byramji Town,Attempted Murder,High,Male,18-25,Afternoon (11 AM-3 PM),Thursday,September,2024,Knife/Sharp Weapon,Unknown,Yes,Under Trial,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0022,Wardhaman Nagar,Zone IV,Wardhaman Nagar,House Break-in,Medium,Not Specified,26-35,Late Night (11 PM-4 AM),Sunday,January,2025,Blunt Object,2,No,Case Closed - Convicted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0023,Civil Lines,Zone II,Civil Lines,Gambling,Low,Male,36-45,Evening (3-7 PM),Thursday,September,2025,None,Unknown,No,Chargesheet Filed,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0024,Ramdaspeth,Zone II,Ramdaspeth,Theft,Low,Male,26-35,Late Night (11 PM-4 AM),Wednesday,August,2026,None,2,No,Under Trial,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0025,Gitti Khadan,Zone III,Gitti Khadan,Mobile Phone Snatching,Low,Female,26-35,Night (7-11 PM),Friday,May,2026,None,1,No,Under Trial,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0026,Beltarodi,Zone IV,Beltarodi,Theft,Low,Male,26-35,Night (7-11 PM),Saturday,March,2026,None,1,Yes,Case Closed - Acquitted,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0027,Hudkeshwar,Zone IV,Hudkeshwar,Attempted Murder,High,Male,26-35,Evening (3-7 PM),Thursday,September,2024,Knife/Sharp Weapon,1,Yes,FIR Registered - Under Investigation,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0028,Sitabuldi,Zone III,Sitabuldi,Theft,Low,Female,26-35,Night (7-11 PM),Friday,May,2025,None,Unknown,Yes,Chargesheet Filed,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0029,MIDC,Zone I,MIDC,Mobile Phone Snatching,Low,Male,46-60,Afternoon (11 AM-3 PM),Sunday,July,2023,None,1,No,FIR Registered - Under Investigation,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0030,Kapil Nagar,Zone V,Kapil Nagar,Chain Snatching,Medium,Female,Under 18,Morning (7-11 AM),Saturday,January,2023,Blunt Object,1,No,Chargesheet Filed,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0031,Bajaj Nagar,Zone I,Bajaj Nagar,Rape,High,Female,26-35,Evening (3-7 PM),Tuesday,October,2026,Vehicle,1,Yes,Chargesheet Filed,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0032,Ramdaspeth,Zone II,Ramdaspeth,Theft,Low,Male,46-60,Afternoon (11 AM-3 PM),Friday,August,2024,None,1,Yes,Case Closed - Convicted,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0033,Sitabuldi,Zone III,Sitabuldi,Theft,Low,Male,26-35,Early Morning (4-7 AM),Monday,August,2024,None,1,No,Case Closed - Convicted,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0034,Ashok Nagar,Other,Ashok Nagar,Cyber Fraud,Medium,Not Specified,18-25,Afternoon (11 AM-3 PM),Saturday,December,2026,Blunt Object,Unknown,Yes,Chargesheet Filed,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0035,Chaoni,Other,Chaoni,Cybercrime (OTP/Loan App Fraud),Medium,Male,36-45,Morning (7-11 AM),Sunday,November,2023,Knife/Sharp Weapon,2,No,Chargesheet Filed,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0036,Ravi Nagar,Zone II,Ravi Nagar,Burglary,Medium,Male,18-25,Early Morning (4-7 AM),Friday,June,2024,Knife/Sharp Weapon,Unknown,Yes,Chargesheet Filed,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0037,Bajeria,Zone III,Bajeria,Burglary,Medium,Male,Under 18,Evening (3-7 PM),Sunday,September,2024,Knife/Sharp Weapon,3,Yes,Case Closed - Convicted,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0038,Pardi,Zone V,Pardi,Chain Snatching,Medium,Female,18-25,Early Morning (4-7 AM),Saturday,March,2026,Blunt Object,2,No,FIR Registered - Under Investigation,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0039,Ganeshpeth,Zone VI (Gandhibagh),Ganeshpeth,Eve Teasing / Harassment,Low,Female,36-45,Afternoon (11 AM-3 PM),Saturday,September,2026,None,3,No,FIR Registered - Under Investigation,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0040,Pardi,Zone V,Pardi,Theft,Low,Not Specified,36-45,Late Night (11 PM-4 AM),Wednesday,November,2023,None,2,Yes,FIR Registered - Under Investigation,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0041,Kalyan Nagar,Zone I,Kalyan Nagar,Theft,Low,Male,Under 18,Evening (3-7 PM),Monday,September,2025,None,3,Yes,Under Trial,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0042,Gokulpeth,Other,Gokulpeth,Cyber Fraud,Medium,Male,36-45,Afternoon (11 AM-3 PM),Sunday,August,2026,Blunt Object,Unknown,Yes,Under Trial,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0043,Pratap Nagar,Zone I,Pratap Nagar,Burglary,Medium,Male,26-35,Night (7-11 PM),Monday,August,2023,Knife/Sharp Weapon,2,Yes,Case Closed - Acquitted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0044,Ganeshpeth,Zone VI (Gandhibagh),Ganeshpeth,Molestation,High,Female,18-25,Night (7-11 PM),Tuesday,September,2023,None/Physical Force,Unknown,No,Chargesheet Filed,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0045,Ajni,Zone IV,Ajni,Theft,Low,Not Specified,26-35,Late Night (11 PM-4 AM),Monday,April,2026,None,3,Yes,Chargesheet Filed,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0046,Bajeria,Zone III,Bajeria,Burglary,Medium,Not Specified,26-35,Late Night (11 PM-4 AM),Thursday,August,2024,None/Physical Force,Unknown,Yes,Under Trial,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0047,Beltarodi,Zone IV,Beltarodi,Grievous Hurt,High,Male,26-35,Evening (3-7 PM),Sunday,June,2023,Firearm,Unknown,Yes,Under Trial,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0048,Imambada,Zone VI (Gandhibagh),Imambada,Molestation,High,Female,26-35,Evening (3-7 PM),Sunday,May,2026,Vehicle,1,Yes,FIR Registered - Under Investigation,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0049,Lakadganj,Zone VI (Gandhibagh),Lakadganj,Grievous Hurt,High,Male,26-35,Late Night (11 PM-4 AM),Monday,July,2024,Blunt Object,1,No,FIR Registered - Under Investigation,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0050,Pipla,Zone V,Pipla,Attempted Murder,High,Male,36-45,Early Morning (4-7 AM),Thursday,May,2023,None/Physical Force,2,No,Case Closed - Convicted,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0051,Beltarodi,Zone IV,Beltarodi,Chain Snatching,Medium,Female,36-45,Afternoon (11 AM-3 PM),Friday,August,2024,Knife/Sharp Weapon,1,Yes,Chargesheet Filed,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0052,Shraddhanand Peth,Zone II,Shraddhanand Peth,Chain Snatching,Medium,Male,26-35,Night (7-11 PM),Friday,March,2024,Knife/Sharp Weapon,1,Yes,Case Pending,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0053,Itwari,Zone III,Itwari,Fraud,Medium,Female,26-35,Afternoon (11 AM-3 PM),Saturday,July,2024,None/Physical Force,1,Yes,Under Trial,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0054,Beltarodi,Zone IV,Beltarodi,Eve Teasing / Harassment,Low,Not Specified,18-25,Late Night (11 PM-4 AM),Thursday,July,2026,None,Unknown,Yes,FIR Registered - Under Investigation,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0055,Kalmeshwar,Other,Kalmeshwar,Rape,High,Female,36-45,Early Morning (4-7 AM),Thursday,February,2025,None/Physical Force,2,Yes,Case Pending,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0056,Hawrapeth,Other,Hawrapeth,Cyber Fraud,Medium,Male,26-35,Morning (7-11 AM),Sunday,November,2025,None/Physical Force,1,No,Case Pending,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0057,Hingna,Zone I,Hingna,Gambling,Low,Male,Under 18,Night (7-11 PM),Saturday,September,2025,None,1,Yes,Case Pending,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0058,Pipla,Zone V,Pipla,Theft,Low,Female,46-60,Afternoon (11 AM-3 PM),Wednesday,August,2024,None,Unknown,Yes,FIR Registered - Under Investigation,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0059,Shraddhanand Peth,Zone II,Shraddhanand Peth,Cyber Fraud,Medium,Male,26-35,Early Morning (4-7 AM),Saturday,November,2023,Knife/Sharp Weapon,1,Yes,FIR Registered - Under Investigation,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0060,Itwari,Zone III,Itwari,Motor Vehicle Theft,Medium,Female,26-35,Early Morning (4-7 AM),Sunday,January,2024,None,2,No,Chargesheet Filed,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0061,Ramdaspeth,Zone II,Ramdaspeth,Mobile Phone Snatching,Low,Male,18-25,Afternoon (11 AM-3 PM),Tuesday,October,2025,None,Unknown,Yes,FIR Registered - Under Investigation,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0062,Besa,Zone V,Besa,Theft,Low,Female,Under 18,Early Morning (4-7 AM),Thursday,March,2025,None,Unknown,No,Chargesheet Filed,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0063,Hingna,Zone I,Hingna,Domestic Violence / Cruelty by Relatives,Medium,Female,36-45,Afternoon (11 AM-3 PM),Sunday,July,2025,None,1,No,FIR Registered - Under Investigation,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0064,Bajaj Nagar,Zone I,Bajaj Nagar,Theft,Low,Male,60+,Evening (3-7 PM),Wednesday,July,2026,None,4,No,Case Closed - Convicted,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0065,Subhash Nagar,Zone I,Subhash Nagar,Motor Vehicle Theft,Medium,Male,46-60,Evening (3-7 PM),Monday,August,2025,Blunt Object,3,Yes,Chargesheet Filed,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0066,Trimurti Nagar,Zone I,Trimurti Nagar,Eve Teasing / Harassment,Low,Female,46-60,Evening (3-7 PM),Wednesday,October,2025,None,Unknown,Yes,FIR Registered - Under Investigation,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0067,Mangalwari,Zone III,Mangalwari,Assault,Medium,Male,36-45,Afternoon (11 AM-3 PM),Saturday,August,2024,None/Physical Force,1,No,FIR Registered - Under Investigation,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0068,Nandanvan,Zone IV,Nandanvan,Burglary,Medium,Female,26-35,Morning (7-11 AM),Sunday,December,2025,None/Physical Force,1,Yes,Under Trial,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0069,Gandhibagh,Zone III,Gandhibagh,Burglary,Medium,Not Specified,36-45,Afternoon (11 AM-3 PM),Friday,August,2025,Blunt Object,Unknown,Yes,Chargesheet Filed,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0070,Bajaj Nagar,Zone I,Bajaj Nagar,Attempted Murder,High,Not Specified,18-25,Morning (7-11 AM),Tuesday,March,2026,None/Physical Force,2,Yes,Case Pending,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0071,Pachpaoli,Zone VI (Gandhibagh),Pachpaoli,Grievous Hurt,High,Male,26-35,Afternoon (11 AM-3 PM),Tuesday,August,2024,Blunt Object,1,Yes,FIR Registered - Under Investigation,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0072,Pipla,Zone V,Pipla,Murder,High,Female,18-25,Early Morning (4-7 AM),Saturday,February,2024,Knife/Sharp Weapon,1,No,Case Closed - Convicted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0073,Seminary Hills,Other,Seminary Hills,Cyber Fraud,Medium,Female,Under 18,Late Night (11 PM-4 AM),Sunday,October,2023,Knife/Sharp Weapon,1,Yes,FIR Registered - Under Investigation,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0074,Dharampeth,Zone II,Dharampeth,Cyber Fraud,Medium,Not Specified,36-45,Afternoon (11 AM-3 PM),Wednesday,October,2025,None/Physical Force,1,Yes,FIR Registered - Under Investigation,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0075,Sitabuldi,Zone III,Sitabuldi,Theft,Low,Not Specified,46-60,Night (7-11 PM),Tuesday,June,2024,None,1,Yes,Under Trial,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0076,Kapil Nagar,Zone V,Kapil Nagar,Illegal Liquor Trade,Low,Male,46-60,Evening (3-7 PM),Thursday,March,2023,None,Unknown,Yes,Case Closed - Acquitted,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0077,Ajni,Zone IV,Ajni,Grievous Hurt,High,Male,46-60,Late Night (11 PM-4 AM),Saturday,June,2026,None/Physical Force,1,Yes,Chargesheet Filed,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0078,Hudkeshwar,Zone IV,Hudkeshwar,Fatal Road Accident (Rash Driving),High,Female,18-25,Morning (7-11 AM),Tuesday,March,2025,Vehicle,1,Yes,Absconding Accused,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0079,Ajni,Zone IV,Ajni,NDPS (Narcotics),Medium,Not Specified,26-35,Night (7-11 PM),Tuesday,September,2024,Blunt Object,2,Yes,FIR Registered - Under Investigation,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0080,Byramji Town,Other,Byramji Town,NDPS (Narcotics),Medium,Male,60+,Morning (7-11 AM),Thursday,November,2025,None,2,No,Chargesheet Filed,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0081,Ravi Nagar,Zone II,Ravi Nagar,Drug Trafficking,High,Male,36-45,Night (7-11 PM),Monday,April,2023,Knife/Sharp Weapon,1,No,Under Trial,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0082,Civil Lines,Zone II,Civil Lines,House Break-in,Medium,Male,26-35,Early Morning (4-7 AM),Friday,July,2024,None/Physical Force,2,Yes,Case Closed - Acquitted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0083,Beltarodi,Zone IV,Beltarodi,Burglary,Medium,Not Specified,26-35,Afternoon (11 AM-3 PM),Monday,January,2024,Knife/Sharp Weapon,2,No,Chargesheet Filed,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0084,Kapil Nagar,Zone V,Kapil Nagar,Cyber Fraud,Medium,Male,26-35,Late Night (11 PM-4 AM),Sunday,February,2024,None/Physical Force,2,Yes,FIR Registered - Under Investigation,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0085,Sadar,Zone II,Sadar,Theft,Low,Female,26-35,Late Night (11 PM-4 AM),Sunday,November,2026,None,1,Yes,Under Trial,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0086,Pachpaoli,Zone VI (Gandhibagh),Pachpaoli,Assault,Medium,Male,46-60,Morning (7-11 AM),Saturday,March,2026,Knife/Sharp Weapon,1,No,Case Pending,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0087,Khapri,Zone V,Khapri,Kidnapping,High,Male,36-45,Evening (3-7 PM),Tuesday,August,2025,None/Physical Force,2,Yes,FIR Registered - Under Investigation,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0088,Pratap Nagar,Zone I,Pratap Nagar,Burglary,Medium,Male,36-45,Evening (3-7 PM),Sunday,March,2026,Knife/Sharp Weapon,3,Yes,Case Closed - Acquitted,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0089,Rajendra Nagar,Other,Rajendra Nagar,Theft,Low,Female,26-35,Night (7-11 PM),Saturday,July,2025,None,1,Yes,FIR Registered - Under Investigation,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0090,Ramdaspeth,Zone II,Ramdaspeth,House Break-in,Medium,Female,26-35,Late Night (11 PM-4 AM),Sunday,May,2026,Blunt Object,2,Yes,Case Closed - Convicted,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0091,Godhni,Zone V,Godhni,Cybercrime (OTP/Loan App Fraud),Medium,Male,18-25,Late Night (11 PM-4 AM),Wednesday,September,2024,Knife/Sharp Weapon,1,Yes,Case Closed - Convicted,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0092,Wadi,Zone I,Wadi,Assault,Medium,Male,18-25,Night (7-11 PM),Friday,May,2024,Knife/Sharp Weapon,2,Yes,Case Closed - Convicted,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0093,Sadar,Zone II,Sadar,Cyber Fraud,Medium,Male,26-35,Night (7-11 PM),Thursday,May,2026,None/Physical Force,1,Yes,Case Closed - Acquitted,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0094,Godhni,Zone V,Godhni,Assault,Medium,Not Specified,26-35,Night (7-11 PM),Monday,January,2026,None,1,Yes,FIR Registered - Under Investigation,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0095,Hawrapeth,Other,Hawrapeth,Chain Snatching,Medium,Female,36-45,Night (7-11 PM),Saturday,October,2023,Blunt Object,1,Yes,FIR Registered - Under Investigation,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0096,Khapri,Zone V,Khapri,Assault,Medium,Male,Under 18,Afternoon (11 AM-3 PM),Saturday,July,2023,None,2,Yes,Under Trial,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
